# Final cluster catalogue of successfully downloaded clusters
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
ID Name "RA [deg]" "Dec [deg]" z_cl Richness "BCG redshift"
356 HSCJ020959-053314 32.496009 -5.55393 0.144 15.515 0.13894
357 HSCJ021003-012338 32.513991 -1.393885 0.248 23.123 0.32164
358 HSCJ021010-010406 32.542902 -1.068264 0.1716 43.687 0.17531
359 HSCJ021018-030955 32.573026 -3.165231 0.2368 43.722 0.24491
360 HSCJ021040-003832 32.666214 -0.64211 0.2704 25.527 -1.0
361 HSCJ021040-005853 32.667346 -0.981518 0.2631 16.59 -1.0
362 HSCJ021044-024836 32.682499 -2.809941 0.2816 24.758 -1.0
363 HSCJ021056-061154 32.735024 -6.198431 0.43 44.252 0.42926
364 HSCJ021100-031706 32.751809 -3.285039 0.234 25.059 0.24514
365 HSCJ021103-045338 32.762134 -4.893882 0.137 18.363 0.13794
366 HSCJ021110-011243 32.792609 -1.212032 0.178 39.649 0.17316
367 HSCJ021111-042041 32.793815 -4.344773 0.4665 25.548 0.44336
368 HSCJ021112+010210 32.79894 1.035994 0.4835 28.947 0.46856
369 HSCJ021125-050332 32.855264 -5.058978 0.4265 16.218 0.42934
370 HSCJ021129-061147 32.869825 -6.196361 0.4294 19.878 0.42876
371 HSCJ021148+001641 32.951672 0.278142 0.2924 27.948 0.291
372 HSCJ021157-031425 32.985781 -3.240354 0.24 18.677 -1.0
373 HSCJ021211+021424 33.045735 2.240065 0.4052 19.224 0.40341
374 HSCJ021213-040515 33.053505 -4.087569 0.4849 15.608 0.46242
375 HSCJ021221-002846 33.089223 -0.479582 0.4267 15.021 -1.0
376 HSCJ021222-053556 33.093716 -5.598939 0.288 74.044 0.30138
377 HSCJ021223-061052 33.094603 -6.181013 0.4221 32.714 0.42674
378 HSCJ021227-060430 33.114441 -6.075054 0.2958 16.5 0.29652
379 HSCJ021243-031907 33.177627 -3.318498 0.4947 17.077 -1.0
380 HSCJ021249-013315 33.203102 -1.554146 0.2268 20.741 -1.0
381 HSCJ021254-061215 33.224595 -6.204203 0.3835 19.495 -1.0
382 HSCJ021307+012052 33.279448 1.347913 0.4731 22.613 0.47055
383 HSCJ021316-030653 33.318458 -3.114857 0.248 24.405 0.24531
384 HSCJ021319+021415 33.327862 2.237423 0.4595 28.11 -1.0
385 HSCJ021321-025250 33.33761 -2.880572 0.144 30.276 -1.0
386 HSCJ021328-051147 33.368322 -5.196261 0.462 18.164 0.44196
387 HSCJ021335-011536 33.396621 -1.259901 0.1877 16.549 0.21151
388 HSCJ021346-013115 33.443738 -1.520966 0.1774 44.414 -1.0
389 HSCJ021351-024831 33.463595 -2.808606 0.3334 21.013 -1.0
390 HSCJ021351+002803 33.463772 0.467417 0.182 22.966 0.18199
391 HSCJ021356-005938 33.481301 -0.994013 0.3384 22.364 0.36935
392 HSCJ021358-031547 33.492053 -3.263176 0.4552 18.264 -1.0
393 HSCJ021409-053459 33.537089 -5.582941 0.4366 36.518 0.44191
394 HSCJ021413-001119 33.552558 -0.18863 0.1499 28.978 0.14082
395 HSCJ021426-062740 33.607429 -6.461161 0.237 36.54 0.23655
396 HSCJ021426-021358 33.608973 -2.23288 0.2133 25.67 0.21238
397 HSCJ021428+020714 33.615036 2.120566 0.3913 22.567 0.39435
398 HSCJ021441-043402 33.671242 -4.567356 0.144 59.009 0.13924
399 HSCJ021442+023330 33.675746 2.558219 0.332 21.364 -1.0
400 HSCJ021443-040500 33.678161 -4.083432 0.455 16.794 0.44699
401 HSCJ021500-035423 33.749636 -3.906519 0.158 35.139 0.13756
402 HSCJ021503+000547 33.760507 0.096384 0.288 17.957 0.29281
403 HSCJ021517-024053 33.819279 -2.681323 0.462 16.202 -1.0
404 HSCJ021518-055718 33.82559 -5.955039 0.26 42.595 0.28764
405 HSCJ021529-040243 33.869132 -4.045333 0.359 25.802 0.37096
406 HSCJ021530-053255 33.872965 -5.548673 0.2797 30.059 0.29028
407 HSCJ021546-021033 33.940574 -2.175841 0.43 15.892 -1.0
408 HSCJ021551-004245 33.962185 -0.712549 0.429 16.228 0.43709
409 HSCJ021607-032615 34.028819 -3.437456 0.316 16.917 0.31313
410 HSCJ021612-041456 34.050252 -4.248913 0.1589 40.972 0.15232
411 HSCJ021621+001557 34.085543 0.265773 0.242 21.089 -1.0
412 HSCJ021624+012012 34.101721 1.33666 0.212 19.496 0.21168
413 HSCJ021636-042843 34.149203 -4.47864 0.44 37.197 0.44226
414 HSCJ021641-012137 34.171084 -1.360202 0.232 37.664 0.20456
415 HSCJ021643-020853 34.179215 -2.148008 0.1486 78.512 0.14236
416 HSCJ021652-022908 34.217961 -2.485644 0.3587 20.865 0.36551
417 HSCJ021706-030548 34.276368 -3.096622 0.2458 22.72 0.24943
418 HSCJ021808-062244 34.534991 -6.378887 0.2329 16.895 0.23558
419 HSCJ021825-040031 34.605611 -4.008593 0.284 16.56 0.3031
420 HSCJ021831-002547 34.627481 -0.429654 0.286 41.447 0.29098
421 HSCJ021842+000650 34.674784 0.113778 0.2602 38.269 0.27187
422 HSCJ021843-035013 34.678063 -3.837003 0.157 16.389 0.16172
423 HSCJ021844-014613 34.683472 -1.770264 0.1751 34.675 0.17727
424 HSCJ021911-040158 34.794254 -4.032738 0.4252 15.425 0.43245
425 HSCJ021919-020245 34.828881 -2.045807 0.47 22.749 0.46847
426 HSCJ021924+011459 34.848905 1.249752 0.422 20.477 0.39198
427 HSCJ021936-004801 34.899375 -0.800198 0.3227 51.887 -1.0
428 HSCJ021946-012247 34.942603 -1.379668 0.3229 31.714 0.34621
429 HSCJ021953+013625 34.969699 1.606809 0.4548 17.374 -1.0
430 HSCJ021955+013029 34.978534 1.508149 0.322 64.83 -1.0
431 HSCJ021956+013059 34.984285 1.516264 0.4175 29.433 0.36752
432 HSCJ021959-052723 34.994119 -5.456361 0.26 21.61 0.19828
433 HSCJ022022-024953 35.090898 -2.831284 0.2349 16.34 0.23108
434 HSCJ022040-032706 35.166676 -3.451555 0.316 24.509 0.32523
435 HSCJ022041-010411 35.170613 -1.069682 0.3462 21.28 0.34956
436 HSCJ022044-020429 35.184412 -2.074623 0.34 21.681 0.34647
437 HSCJ022054-020554 35.22688 -2.098363 0.4669 15.282 0.47068
438 HSCJ022111+004900 35.296053 0.816753 0.3326 17.329 0.37495
439 HSCJ022130-043010 35.373357 -4.502703 0.46 17.489 0.46077
440 HSCJ022135-062618 35.394753 -6.4384 0.288 24.087 0.31401
441 HSCJ022218-014716 35.575866 -1.787652 0.3431 23.459 -1.0
442 HSCJ022235+014227 35.64428 1.7076 0.2394 19.837 -1.0
443 HSCJ022253-013109 35.718877 -1.519303 0.1957 15.143 0.20864
444 HSCJ022300-040544 35.750725 -4.095429 0.273 18.317 0.32626
445 HSCJ022317-023250 35.822129 -2.547183 0.2666 24.068 -1.0
446 HSCJ022320-052715 35.834179 -5.454184 0.2019 16.125 0.21105
447 HSCJ022320-021243 35.834488 -2.211957 0.2554 21.646 0.25435
448 HSCJ022335+010636 35.893945 1.10991 0.338 33.72 0.362
449 HSCJ022337-030217 35.90345 -3.038103 0.4863 15.265 0.49246
450 HSCJ022342-043052 35.924081 -4.514363 0.4217 19.247 0.43607
451 HSCJ022349-025126 35.954133 -2.857204 0.18 21.993 0.17428
452 HSCJ022358-043416 35.991297 -4.571125 0.4838 25.557 0.49943
453 HSCJ022411-022715 36.046391 -2.45427 0.338 17.819 -1.0
454 HSCJ022454-022158 36.223079 -2.366097 0.2137 20.947 0.20862
455 HSCJ022502-020144 36.257206 -2.028936 0.3222 15.768 -1.0
456 HSCJ022511-010459 36.294687 -1.083165 0.232 24.181 -1.0
457 HSCJ022512-062259 36.301202 -6.383148 0.1982 35.784 0.20405
458 HSCJ022525+004234 36.355298 0.709354 0.3507 17.984 0.39734
459 HSCJ022540-055343 36.416459 -5.895182 0.2348 21.277 0.22796
460 HSCJ022541-000735 36.418754 -0.12632 0.4452 15.977 0.44565
461 HSCJ022545-031233 36.43722 -3.209148 0.14 37.671 0.14174
462 HSCJ022553-015759 36.471877 -1.966411 0.4714 17.856 -1.0
463 HSCJ022557-053834 36.48706 -5.64285 0.204 18.649 0.19471
464 HSCJ022600-013124 36.497995 -1.523434 0.1828 24.94 0.18219
465 HSCJ022620-022824 36.584712 -2.473379 0.264 28.739 0.27929
466 HSCJ022624+010041 36.599854 1.011251 0.4244 24.227 0.39816
467 HSCJ022650-015735 36.709175 -1.959853 0.18 34.951 -1.0
468 HSCJ022652-010559 36.718627 -1.099616 0.3261 16.921 0.36166
469 HSCJ022714-032006 36.80873 -3.334948 0.316 20.898 -1.0
470 HSCJ022737-005251 36.903281 -0.880738 0.362 34.018 0.36228
471 HSCJ022738-055743 36.90627 -5.961872 0.2287 32.106 0.25753
472 HSCJ022744+010020 36.932939 1.005474 0.4019 15.977 0.39865
473 HSCJ022759-044932 36.996669 -4.825574 0.27 35.834 0.2968
474 HSCJ022803-021202 37.011317 -2.200502 0.218 28.141 -1.0
475 HSCJ022826+013013 37.107605 1.503475 0.2462 38.079 -1.0
476 HSCJ022826+003203 37.107725 0.534049 0.4068 29.477 0.39517
477 HSCJ022918-020357 37.324059 -2.065745 0.2527 18.128 -1.0
478 HSCJ022929-055321 37.369035 -5.889055 0.2688 37.222 0.29509
479 HSCJ022934-003238 37.390337 -0.543817 0.338 24.193 0.36263
480 HSCJ022935+001502 37.394449 0.250548 0.408 23.066 0.39678
481 HSCJ022944-033654 37.433241 -3.614869 0.3191 31.113 -1.0
482 HSCJ022948-031413 37.44805 -3.237002 0.2452 25.822 0.25332
483 HSCJ023004-054016 37.517101 -5.671038 0.4902 28.587 0.4964
484 HSCJ023030-051331 37.623923 -5.225316 0.1985 19.007 0.18792
485 HSCJ023038-061051 37.659501 -6.180697 0.41 17.007 0.41977
486 HSCJ023039-045927 37.661576 -4.990967 0.2658 37.638 0.29192
487 HSCJ023046-010600 37.692344 -1.100137 0.2541 16.423 0.28947
488 HSCJ023050-013753 37.70643 -1.631444 0.2074 16.485 -1.0
489 HSCJ023103-003127 37.762945 -0.524284 0.394 23.512 0.39281
490 HSCJ023135-011529 37.894408 -1.258153 0.264 27.453 0.29894
491 HSCJ023139+001923 37.911494 0.323073 0.2927 16.74 -1.0
492 HSCJ023141-045257 37.921574 -4.882613 0.1928 121.565 0.18523
493 HSCJ023200-054412 37.998778 -5.736712 0.3546 24.455 0.40299
494 HSCJ023206-021016 38.025726 -2.171234 0.362 23.785 0.36639
495 HSCJ023238-044440 38.157253 -4.744546 0.2556 23.478 0.27746
496 HSCJ023241-021013 38.171376 -2.170325 0.4966 15.919 0.49099
497 HSCJ023248-063322 38.201447 -6.556046 0.33 19.112 -1.0
498 HSCJ023252-015243 38.216606 -1.878631 0.1842 21.038 -1.0
499 HSCJ023258-025100 38.239942 -2.849987 0.3232 15.087 0.3329
500 HSCJ023258-053238 38.241727 -5.543843 0.2235 21.906 0.28977
501 HSCJ023300-061739 38.24881 -6.294273 0.2 15.545 0.18884
502 HSCJ023324-054229 38.350939 -5.708109 0.4412 24.915 0.43743
503 HSCJ023328+001814 38.368478 0.303899 0.4132 21.959 0.4133
504 HSCJ023332+015439 38.382323 1.910812 0.2348 26.01 -1.0
505 HSCJ023336-053022 38.398282 -5.506038 0.434 56.419 0.43006
506 HSCJ023339-041031 38.41397 -4.175284 0.282 22.454 0.27631
507 HSCJ023356-015305 38.483878 -1.884647 0.2551 24.118 0.28708
508 HSCJ023358-044658 38.492711 -4.78283 0.186 15.573 0.18092
509 HSCJ023425-045814 38.604262 -4.97065 0.1575 15.596 0.1392
510 HSCJ023433-030152 38.637796 -3.03124 0.415 25.881 0.41463
511 HSCJ023435-022836 38.647602 -2.476644 0.24 19.312 -1.0
512 HSCJ023439-001747 38.661203 -0.296365 0.23 30.926 0.24498
513 HSCJ023512-013047 38.799875 -1.513187 0.1744 25.425 0.17343
514 HSCJ023532+015507 38.881703 1.918729 0.23 17.912 -1.0
515 HSCJ023534-030210 38.892912 -3.036196 0.252 22.146 -1.0
516 HSCJ023539-022603 38.912315 -2.43426 0.234 18.341 0.24479
517 HSCJ023543-052457 38.928038 -5.415711 0.1852 56.492 0.18047
518 HSCJ023559-030313 38.996888 -3.053609 0.3216 33.844 0.32991
519 HSCJ023609-010024 39.036493 -1.006554 0.2531 32.082 0.25079
520 HSCJ023624+012455 39.100688 1.415305 0.2363 21.108 0.26055
521 HSCJ023633-044849 39.138075 -4.813572 0.339 23.304 0.3622
522 HSCJ023635-053942 39.147803 -5.661794 0.2881 21.27 -1.0
523 HSCJ023637-033243 39.156074 -3.545178 0.2446 27.579 -1.0
524 HSCJ023715-034410 39.310951 -3.735974 0.3544 28.237 0.36348
525 HSCJ023740-042307 39.418346 -4.385292 0.4859 19.421 -1.0
526 HSCJ023756-041230 39.483752 -4.208457 0.2499 33.716 -1.0
527 HSCJ083317-003730 128.322307 -0.624973 0.4174 18.377 -1.0
528 HSCJ083322-011142 128.341393 -1.194895 0.2892 29.613 -1.0
529 HSCJ083354+004312 128.474073 0.720135 0.3823 24.504 -1.0
530 HSCJ083413+004323 128.553037 0.722927 0.3905 16.661 -1.0
531 HSCJ083445+021916 128.686211 2.321168 0.2487 15.133 0.26235
532 HSCJ083451-003526 128.713572 -0.590624 0.3 27.885 -1.0
533 HSCJ083455+013714 128.727358 1.620677 0.3723 26.344 0.37584
534 HSCJ083502+010709 128.760353 1.119118 0.2966 29.808 -1.0
535 HSCJ083530-003533 128.876985 -0.592413 0.3526 16.056 -1.0
536 HSCJ083620-001317 129.083113 -0.221393 0.476 24.018 0.46872
537 HSCJ083655+025855 129.23097 2.982049 0.192 52.111 0.18728
538 HSCJ083702+000637 129.257954 0.110355 0.3272 17.788 -1.0
539 HSCJ083716+013539 129.318433 1.594131 0.3626 44.249 0.36147
540 HSCJ083731+015837 129.379471 1.977065 0.388 29.75 -1.0
541 HSCJ083733+012354 129.387483 1.39843 0.3445 30.753 -1.0
542 HSCJ083751+014235 129.461839 1.709745 0.334 24.436 -1.0
543 HSCJ083755-002422 129.480437 -0.405993 0.4596 22.976 -1.0
544 HSCJ083758+015322 129.493228 1.889349 0.3442 20.91 0.35785
545 HSCJ083800-003642 129.498998 -0.611573 0.4228 26.108 0.42032
546 HSCJ083810+031529 129.542795 3.258042 0.3444 36.337 0.34704
547 HSCJ083813+005403 129.554962 0.90092 0.208 15.393 0.20217
548 HSCJ083816+010616 129.56874 1.104341 0.3501 22.512 -1.0
549 HSCJ083818+005854 129.575154 0.981676 0.3974 16.009 -1.0
550 HSCJ083833+005913 129.635874 0.986992 0.44 17.238 0.43631
551 HSCJ083835+020639 129.644178 2.11091 0.4477 24.577 0.45679
552 HSCJ083845-004155 129.687659 -0.698478 0.4539 25.311 -1.0
553 HSCJ083848+000143 129.701128 0.028713 0.246 19.858 0.27052
554 HSCJ083852+020911 129.717009 2.153169 0.2153 19.576 -1.0
555 HSCJ083857+020851 129.737215 2.14755 0.3531 33.497 -1.0
556 HSCJ083858-015036 129.742969 -1.843252 0.1327 16.428 0.13497
557 HSCJ083859+022900 129.747767 2.483233 0.3511 24.537 0.35862
558 HSCJ083901+020056 129.753433 2.015425 0.362 25.532 0.35846
559 HSCJ083904-011541 129.767056 -1.261468 0.432 22.25 -1.0
560 HSCJ083918+010130 129.824909 1.025052 0.268 26.571 0.26735
561 HSCJ083924+025011 129.850278 2.836417 0.256 15.389 0.26869
562 HSCJ083932-014128 129.884537 -1.691122 0.2544 47.058 0.27861
563 HSCJ083938+010319 129.90819 1.055282 0.162 28.123 -1.0
564 HSCJ083938+014628 129.909 1.77435 0.386 31.426 0.3886
565 HSCJ083946+000722 129.942709 0.1229 0.463 15.267 -1.0
566 HSCJ083958-003640 129.993089 -0.611204 0.4579 15.265 -1.0
567 HSCJ083959+002515 129.993864 0.42072 0.356 28.599 0.36049
568 HSCJ084006-002445 130.023072 -0.412423 0.279 28.093 0.26993
569 HSCJ084006+025923 130.024768 2.989801 0.4611 32.891 0.45627
570 HSCJ084008-013153 130.034942 -1.531304 0.2565 35.841 0.2774
571 HSCJ084013-003156 130.053507 -0.532218 0.4325 15.367 0.43397
572 HSCJ084018+020230 130.076744 2.041746 0.352 17.641 0.35714
573 HSCJ084050+014128 130.210003 1.691032 0.4121 36.45 0.41148
574 HSCJ084105+010701 130.271861 1.117007 0.2972 15.791 0.29603
575 HSCJ084106-015617 130.273271 -1.937927 0.398 15.559 -1.0
576 HSCJ084112+002738 130.301976 0.460516 0.4471 29.644 0.45338
577 HSCJ084114+003708 130.306443 0.618751 0.3785 20.3 0.36246
578 HSCJ084115-014209 130.31064 -1.702571 0.2551 16.316 -1.0
579 HSCJ084124+004635 130.350969 0.776363 0.4204 18.534 0.40738
580 HSCJ084128+002640 130.367242 0.444572 0.405 21.954 -1.0
581 HSCJ084138+002611 130.409778 0.436275 0.2211 28.922 0.20621
582 HSCJ084151-003405 130.464031 -0.568014 0.25 30.155 0.24565
583 HSCJ084151+014712 130.464245 1.786766 0.3843 16.512 0.38677
584 HSCJ084216-014308 130.56803 -1.718951 0.252 18.095 -1.0
585 HSCJ084222+013826 130.591163 1.640656 0.4186 77.102 0.41998
586 HSCJ084245-000936 130.689562 -0.160119 0.4203 50.658 0.41965
587 HSCJ084308+002859 130.783163 0.483074 0.264 40.573 0.26258
588 HSCJ084317+014851 130.819261 1.814278 0.4172 22.908 -1.0
589 HSCJ084324-001432 130.851505 -0.242099 0.332 25.744 -1.0
590 HSCJ084340+023546 130.917051 2.596084 0.2052 16.901 0.22034
591 HSCJ084351+003642 130.960717 0.611796 0.2718 38.759 0.26556
592 HSCJ084358+020526 130.99099 2.090484 0.438 19.032 -1.0
593 HSCJ084358-004346 130.991626 -0.729448 0.4026 18.475 -1.0
594 HSCJ084409+020448 131.037599 2.07988 0.2008 23.058 0.19961
595 HSCJ084414-003721 131.057128 -0.622403 0.4301 28.435 -1.0
596 HSCJ084417+010405 131.070209 1.0681 0.3289 41.358 0.34019
597 HSCJ084420-015054 131.083197 -1.848279 0.4591 17.495 -1.0
598 HSCJ084422-012951 131.091429 -1.49761 0.2522 16.231 0.26981
599 HSCJ084428-000932 131.118032 -0.158972 0.346 20.183 -1.0
600 HSCJ084451-003921 131.211307 -0.655865 0.406 16.746 -1.0
601 HSCJ084454+002004 131.222991 0.334547 0.286 18.278 -1.0
602 HSCJ084500-011930 131.248452 -1.324926 0.4541 36.735 -1.0
603 HSCJ084502+012631 131.25959 1.442025 0.4153 44.216 0.42024
604 HSCJ084506+010409 131.27375 1.069192 0.2609 25.632 0.26457
605 HSCJ084520-005456 131.333977 -0.915652 0.3977 25.593 0.40274
606 HSCJ084536+011354 131.399813 1.231722 0.2927 30.435 -1.0
607 HSCJ084542-002238 131.423354 -0.377208 0.4229 18.084 -1.0
608 HSCJ084544-002917 131.435408 -0.488056 0.1633 37.737 0.1549
609 HSCJ084555+012413 131.477268 1.403595 0.3506 24.595 -1.0
610 HSCJ084613+004209 131.553061 0.702472 0.4172 20.002 -1.0
611 HSCJ084629+015049 131.619566 1.846935 0.4239 21.856 0.38147
612 HSCJ084650+004951 131.707339 0.830964 0.4138 32.975 0.41749
613 HSCJ084656-003705 131.733471 -0.61807 0.356 18.865 0.36642
614 HSCJ084810+013850 132.042329 1.647256 0.3387 21.97 0.35071
615 HSCJ084831+000722 132.130372 0.122799 0.4075 19.372 -1.0
616 HSCJ084838+003402 132.158591 0.567175 0.4206 27.044 -1.0
617 HSCJ084917+021520 132.322109 2.255511 0.4134 21.464 0.41359
618 HSCJ084931+014321 132.379661 1.722363 0.318 24.776 -1.0
619 HSCJ084958+003014 132.489743 0.503866 0.1663 19.893 -1.0
620 HSCJ085010+005443 132.539629 0.911883 0.29 15.542 0.29321
621 HSCJ085011+002902 132.547653 0.483913 0.43 16.774 -1.0
622 HSCJ085024+001536 132.599721 0.260118 0.204 41.432 0.19608
623 HSCJ085028+023116 132.615949 2.521165 0.2132 15.368 0.21958
624 HSCJ085028+020008 132.618568 2.002162 0.4178 43.19 -1.0
625 HSCJ085029-002949 132.620363 -0.496969 0.4708 21.908 -1.0
626 HSCJ085031+003449 132.631238 0.580254 0.2 32.858 0.19252
627 HSCJ085036-003414 132.650019 -0.570472 0.3 30.228 0.2954
628 HSCJ085100+005532 132.749251 0.925446 0.2894 15.453 0.29202
629 HSCJ085106+003140 132.772993 0.527784 0.32 30.796 0.33231
630 HSCJ085119+023000 132.828559 2.499923 0.3894 36.364 -1.0
631 HSCJ085121+012848 132.838697 1.480067 0.32 29.074 0.32681
632 HSCJ085129-004615 132.87234 -0.770951 0.4544 19.39 -1.0
633 HSCJ085201+012226 133.003107 1.374006 0.3944 22.707 -1.0
634 HSCJ085201+015845 133.006234 1.979043 0.4105 17.195 -1.0
635 HSCJ085221-010047 133.086606 -1.012999 0.438 16.761 -1.0
636 HSCJ085229+010219 133.120139 1.038522 0.4837 17.405 0.49228
637 HSCJ085232+002551 133.134372 0.430734 0.28 48.329 0.27303
638 HSCJ085239+003237 133.163401 0.543512 0.4606 25.568 0.45279
639 HSCJ085309-003043 133.289264 -0.511916 0.415 19.044 0.40414
640 HSCJ085318+020414 133.325649 2.070502 0.476 20.553 0.46632
641 HSCJ085327-002120 133.364055 -0.355634 0.1874 32.106 0.19249
642 HSCJ085343+022357 133.430527 2.39928 0.1953 25.306 -1.0
643 HSCJ085358+024437 133.492907 2.743666 0.4211 15.587 -1.0
644 HSCJ085359-000659 133.495953 -0.116437 0.4249 15.107 0.42941
645 HSCJ085405+022557 133.520311 2.432637 0.368 15.393 -1.0
646 HSCJ085409+020518 133.538256 2.088461 0.3196 23.214 -1.0
647 HSCJ085419-000913 133.577786 -0.153681 0.1676 17.4 0.15771
648 HSCJ085423+002531 133.595043 0.425241 0.2798 18.547 0.29379
649 HSCJ085437+003833 133.652531 0.642571 0.1174 36.249 0.10696
650 HSCJ085454+000140 133.725078 0.027824 0.2887 29.231 0.28874
651 HSCJ085457-001422 133.736518 -0.239368 0.234 15.187 -1.0
652 HSCJ085503+030351 133.761876 3.064156 0.4152 15.035 -1.0
653 HSCJ085507-003013 133.781048 -0.503526 0.1812 15.473 -1.0
654 HSCJ085517+013509 133.822136 1.585918 0.316 40.605 0.32379
655 HSCJ085524+014953 133.849616 1.831446 0.2552 32.193 0.26174
656 HSCJ085540-003257 133.917464 -0.549223 0.2517 17.595 0.27062
657 HSCJ085543+005146 133.928654 0.862847 0.4501 23.874 -1.0
658 HSCJ085601+002530 134.002736 0.424878 0.1814 32.128 -1.0
659 HSCJ085618+013504 134.076136 1.584494 0.3073 17.583 -1.0
660 HSCJ085624+004652 134.099603 0.781072 0.3256 18.221 0.31939
661 HSCJ085638+031350 134.160145 3.230569 0.322 15.756 -1.0
662 HSCJ085653-001531 134.220364 -0.258516 0.3958 31.071 -1.0
663 HSCJ085722+035733 134.342145 3.959212 0.1903 28.348 -1.0
664 HSCJ085727-002644 134.363821 -0.445477 0.402 16.374 0.40544
665 HSCJ085750+004317 134.459014 0.721295 0.314 16.348 0.31759
666 HSCJ085754+031035 134.474796 3.176485 0.192 74.695 -1.0
667 HSCJ085811+015144 134.545203 1.862316 0.246 17.117 -1.0
668 HSCJ085847+000624 134.694513 0.106771 0.256 23.229 -1.0
669 HSCJ085900+002456 134.7503 0.415511 0.4648 16.097 0.48445
670 HSCJ085901+010643 134.75564 1.111985 0.177 23.548 0.16563
671 HSCJ085929-010229 134.870662 -1.041357 0.217 19.471 0.22378
672 HSCJ085932+030841 134.884675 3.144733 0.1849 35.417 0.1959
673 HSCJ090003+041238 135.011336 4.210428 0.2025 27.244 -1.0
674 HSCJ090007+022417 135.030795 2.404698 0.3527 20.07 0.35069
675 HSCJ090013+024907 135.053926 2.818692 0.1937 16.905 0.20141
676 HSCJ090026-001734 135.107211 -0.292711 0.3619 26.444 -1.0
677 HSCJ090100+035922 135.248617 3.989576 0.4112 31.749 0.41194
678 HSCJ090106-012509 135.275428 -1.419068 0.346 19.632 0.40465
679 HSCJ090114+022715 135.307294 2.45415 0.344 15.54 0.34966
680 HSCJ090117+005113 135.31976 0.853538 0.3085 30.743 -1.0
681 HSCJ090121+020646 135.336866 2.112786 0.3533 22.916 0.35342
682 HSCJ090122+030208 135.341066 3.035453 0.1939 55.567 0.1931
683 HSCJ090131-013917 135.377847 -1.654834 0.3102 91.147 -1.0
684 HSCJ090131-011754 135.380094 -1.298393 0.242 18.918 0.2319
685 HSCJ090133+021709 135.386991 2.285758 0.346 21.08 0.35427
686 HSCJ090137-015431 135.404246 -1.908673 0.3057 30.522 -1.0
687 HSCJ090141+011031 135.421503 1.175367 0.464 19.297 -1.0
688 HSCJ090142+012110 135.426376 1.352862 0.306 22.143 0.31344
689 HSCJ090147-012239 135.447217 -1.377504 0.3132 35.216 0.29506
690 HSCJ090201+022336 135.502594 2.393264 0.198 36.39 0.20159
691 HSCJ090222-012748 135.592435 -1.463257 0.28 19.076 0.29523
692 HSCJ090225-015238 135.604007 -1.877261 0.306 15.27 -1.0
693 HSCJ090225-005210 135.604246 -0.869456 0.4153 17.294 -1.0
694 HSCJ090242+012157 135.67653 1.365892 0.256 26.85 0.25709
695 HSCJ090244-010136 135.684937 -1.026764 0.4196 15.076 -1.0
696 HSCJ090257+030233 135.73587 3.042564 0.1972 21.507 0.20021
697 HSCJ090305+003605 135.771014 0.601346 0.294 17.237 0.30053
698 HSCJ090319+023334 135.827531 2.559492 0.2546 18.008 0.28499
699 HSCJ090324+030732 135.847945 3.125655 0.344 16.317 0.3548
700 HSCJ090325+011238 135.852417 1.210582 0.306 15.606 0.31562
701 HSCJ090325+005932 135.852636 0.992205 0.296 16.178 -1.0
702 HSCJ090330-013622 135.875626 -1.60615 0.4404 57.186 -1.0
703 HSCJ090336+013332 135.899384 1.558821 0.3719 15.12 -1.0
704 HSCJ090349-011700 135.956084 -1.283392 0.2927 15.517 -1.0
705 HSCJ090406+002718 136.026172 0.455073 0.356 24.797 0.39003
706 HSCJ090407+035646 136.030577 3.946154 0.2468 22.09 -1.0
707 HSCJ090409-002043 136.038009 -0.345236 0.2605 23.57 0.29664
708 HSCJ090409+003858 136.038704 0.649362 0.304 32.381 -1.0
709 HSCJ090412-003352 136.050405 -0.564333 0.4663 20.111 0.49297
710 HSCJ090420-010208 136.085182 -1.035553 0.3019 16.553 0.30918
711 HSCJ090451+014522 136.21109 1.75604 0.2558 23.466 0.23255
712 HSCJ090502+004654 136.257397 0.781804 0.402 33.021 0.40028
713 HSCJ090527-000527 136.361427 -0.090818 0.354 17.057 -1.0
714 HSCJ090553-000247 136.471121 -0.046527 0.2824 40.184 0.30431
715 HSCJ090559-002756 136.496648 -0.465494 0.268 16.749 0.28297
716 HSCJ090614-000032 136.55935 -0.008857 0.202 23.09 0.1993
717 HSCJ090616+014607 136.564921 1.768681 0.2005 18.369 0.19708
718 HSCJ090619+001551 136.580963 0.264271 0.194 16.385 0.20209
719 HSCJ090621+013311 136.587965 1.552939 0.2562 17.659 -1.0
720 HSCJ090629+035844 136.620473 3.978771 0.4592 16.585 -1.0
721 HSCJ090630-012939 136.625569 -1.494191 0.4266 21.842 0.42913
722 HSCJ090631-002132 136.6293 -0.35898 0.2592 20.488 0.28506
723 HSCJ090703+013715 136.762986 1.620849 0.2567 17.119 0.28215
724 HSCJ090722-011324 136.839966 -1.223452 0.266 28.023 0.29344
725 HSCJ090743+013330 136.929474 1.558265 0.168 29.998 0.1634
726 HSCJ090752+012944 136.967609 1.495669 0.1681 29.056 0.1021
727 HSCJ090803+020044 137.013814 2.012252 0.4593 34.481 0.46825
