# Final cluster catalogue of successfully downloaded clusters
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
ID Name "RA [deg]" "Dec [deg]" z_cl Richness "BCG redshift"
82 HSCJ161249+540837 243.205992 54.143572 0.1608 27.337 0.15165
83 HSCJ161252+553529 243.215998 55.591409 0.2499 17.187 -1.0
84 HSCJ161317+560119 243.322798 56.022025 0.4939 21.432 -1.0
85 HSCJ161321+541031 243.336171 54.175244 0.232 15.302 0.22648
86 HSCJ161357+544820 243.486982 54.805543 0.4335 20.671 -1.0
87 HSCJ161401+542627 243.505539 54.440937 0.276 18.282 -1.0
88 HSCJ161409+533145 243.538289 53.529282 0.186 18.898 0.16175
89 HSCJ161412+554132 243.549793 55.692331 0.2542 21.247 0.25077
90 HSCJ161414+554729 243.557626 55.791506 0.4942 17.642 0.49607
91 HSCJ161415+544328 243.5641 54.724547 0.338 58.474 0.33289
92 HSCJ161434+542551 243.643491 54.430889 0.2334 33.604 0.23271
93 HSCJ161437+563755 243.654225 56.632079 0.1622 15.48 0.13622
94 HSCJ161548+532829 243.949168 53.474606 0.38 22.114 0.39133
95 HSCJ161634+553955 244.142883 55.665297 0.2529 37.044 0.24262
96 HSCJ161654+550833 244.223138 55.142605 0.4236 19.898 0.43103
97 HSCJ161655+560222 244.227251 56.039378 0.3103 15.531 -1.0
98 HSCJ161704+545025 244.268197 54.840189 0.429 20.62 -1.0
99 HSCJ161755+545606 244.479035 54.934953 0.1629 15.148 -1.0
100 HSCJ161810+545922 244.541397 54.989309 0.4359 16.307 -1.0
101 HSCJ161830+541729 244.625969 54.291264 0.2658 15.023 -1.0
102 HSCJ161834+551751 244.642372 55.297392 0.26 36.734 0.26425
103 HSCJ161859+545228 244.74451 54.874329 0.2145 19.076 0.21388
104 HSCJ161915+551341 244.811418 55.22805 0.3532 24.266 0.34323
105 HSCJ161935+545306 244.895973 54.884867 0.48 18.023 0.48509
106 HSCJ162139+545743 245.413726 54.961945 0.246 29.72 0.26701
107 HSCJ162140+550141 245.418237 55.027977 0.32 22.349 -1.0
108 HSCJ232209-012057 350.537059 -1.349057 0.352 28.789 0.35187
109 HSCJ232226-002344 350.607666 -0.395518 0.2834 80.54 -1.0
110 HSCJ232303-010243 350.761891 -1.045307 0.3992 18.236 0.38911
111 HSCJ232353-013335 350.970933 -1.559646 0.4208 33.25 -1.0
112 HSCJ232503-003819 351.264139 -0.638577 0.3486 18.45 -1.0
113 HSCJ232707-002400 351.777521 -0.399991 0.2941 18.379 0.2794
114 HSCJ232712-011338 351.798265 -1.227257 0.2474 16.314 -1.0
115 HSCJ232732+005634 351.882812 0.942802 0.256 50.779 0.27881
116 HSCJ232733-000106 351.886694 -0.018468 0.4252 16.522 0.41634
117 HSCJ232734+003627 351.890123 0.60742 0.432 15.274 -1.0
118 HSCJ232919+000805 352.328989 0.134768 0.39 17.363 0.40451
119 HSCJ233007-003646 352.527906 -0.61269 0.1816 21.953 0.1762
120 HSCJ233031+003810 352.628834 0.636224 0.2599 26.882 -1.0
121 HSCJ233119+003447 352.828313 0.579848 0.4893 17.972 0.45578
122 HSCJ233128+003654 352.867098 0.61511 0.26 31.308 0.2817
123 HSCJ233315+010017 353.312507 1.004774 0.4548 17.675 0.48697
124 HSCJ233534+001428 353.893629 0.241214 0.472 18.691 0.46599
125 HSCJ000051+004705 0.210537 0.784772 0.2714 28.928 0.26345
126 HSCJ000122-000150 0.341559 -0.030558 0.23 20.21 0.24543
127 HSCJ000157+004221 0.487721 0.705804 0.3988 18.716 0.38866
128 HSCJ000202+002049 0.507616 0.347022 0.308 19.73 0.30069
129 HSCJ000227+014500 0.613562 1.749894 0.1919 23.486 0.19028
130 HSCJ000255+015042 0.729049 1.84499 0.3446 18.883 0.34414
131 HSCJ000341+002815 0.91896 0.470862 0.188 16.311 0.19374
132 HSCJ000352+020359 0.967736 2.066293 0.1018 24.246 -1.0
133 HSCJ000411+004508 1.046943 0.75226 0.326 17.519 0.32957
134 HSCJ000447-005034 1.195603 -0.84291 0.332 16.632 -1.0
135 HSCJ000459+005744 1.24415 0.962098 0.1102 25.949 0.09531
136 HSCJ000504+003416 1.268578 0.57111 0.3191 21.454 0.31955
137 HSCJ000544+011709 1.432114 1.285872 0.3858 23.371 0.39036
138 HSCJ000607+014802 1.528826 1.800438 0.4317 18.139 0.41369
139 HSCJ000709+021156 1.789411 2.198971 0.2889 21.265 0.33375
140 HSCJ000725+003236 1.855798 0.543276 0.1037 18.86 0.09264
141 HSCJ000727+005512 1.862505 0.920127 0.1064 17.245 0.10068
142 HSCJ000810+020112 2.043308 2.0201 0.356 68.001 0.36502
143 HSCJ000941+002530 2.419327 0.425027 0.186 18.969 0.18784
144 HSCJ001016+003912 2.564594 0.653282 0.363 15.436 0.36415
145 HSCJ001218+011544 3.074188 1.262263 0.254 16.062 0.25648
146 HSCJ001229-001320 3.120822 -0.222344 0.4101 17.184 0.40462
147 HSCJ001251+001725 3.212409 0.290344 0.158 18.067 0.14759
148 HSCJ001253+002000 3.219411 0.333415 0.38 15.832 0.42365
149 HSCJ001257+004131 3.236874 0.691932 0.1526 21.042 0.14757
150 HSCJ001306+003140 3.274331 0.527904 0.4805 18.057 -1.0
151 HSCJ001309+020742 3.28603 2.128274 0.323 18.398 0.33554
152 HSCJ001332+015625 3.382128 1.940166 0.366 25.246 0.37911
153 HSCJ001400+022711 3.50143 2.453163 0.3338 31.4 0.33669
154 HSCJ001519+013005 3.831054 1.501481 0.362 19.253 -1.0
